,bookID,title,authors,author_only,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
6449,24215,Alice's Adventures in Wonderland: A Pop-Up Adaptation,Robert Sabuda/Lewis Carroll,Robert Sabuda,4.33,689847432,9780000000000.0,eng,12.0,21875.0,111,10/1/03,Simon and Schuster
1422,4944,The Very Hungry Caterpillar,Eric Carle,Eric Carle,4.29,399226907,9780000000000.0,eng,13.0,3945.0,262,3/23/94,Philomel Books
1315,4600,Moo Baa La La La!,Sandra Boynton,Sandra Boynton,4.2,689861133,9780000000000.0,eng,14.0,28925.0,527,9/6/04,Simon and Schuster
2172,7769,Dr. Seuss's ABC,Dr. Seuss,Dr. Seuss,4.08,679882812,9780000000000.0,eng,21.0,27139.0,731,11/26/96,Random House
10425,42278,I Can Fly,Ruth Krauss/Mary Blair,Ruth Krauss,4.24,307001466,9780000000000.0,eng,24.0,1069.0,70,9/9/03,Golden Books
1544,5322,The Christmas Story,Jane Werner Watson/Eloise Wilkin,Jane Werner Watson,4.43,307989135,9780000000000.0,eng,24.0,1304.0,32,8/1/00,Golden Books
9706,38674,Walt Disney's Peter Pan (A Little Golden Book),Walt Disney Company/Al Dempster,Walt Disney Company,4.39,736402381,9780000000000.0,eng,24.0,5661.0,87,1/23/07,Golden/Disney
3991,14118,Disney's Beauty and the Beast (A Little Golden Book),Teddy Slater/Ron Dias/Ric González,Teddy Slater,4.41,736421971,9780000000000.0,eng,24.0,28824.0,132,5/11/04,Golden/Disney
8170,31314,Barnyard Dance,Sandra Boynton,Sandra Boynton,4.25,1563054426,9780000000000.0,eng,24.0,21265.0,480,10/1/93,Workman Publishing Company
5304,19106,The Nose,Nikolai Gogol/Kevin Hawkes,Nikolai Gogol,3.89,688104649,9780000000000.0,eng,31.0,12968.0,446,9/29/94,HarperCollins
7571,29019,The Twelve Terrors of Christmas,John Updike/Edward Gorey,John Updike,4.23,764937103,9780000000000.0,eng,32.0,2552.0,103,5/1/06,Pomegranate Communications
173,397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,Abraham Lincoln,4.53,395883970,9780000000000.0,eng,32.0,5239.0,76,2/2/98,HMH Books for Young Readers
8925,34505,A Tourist Guide to Lancre,Terry Pratchett/Stephen Briggs/Paul Kidby,Terry Pratchett,4.06,552146080,9780000000000.0,eng,32.0,1640.0,19,5/1/98,Transworld Publishers
7540,28873,Dragonology (Ologies #1),Dugald A. Steer/Ernest Drake/Wayne Anderson/Helen Ward/Douglas Carrel,Dugald A. Steer,4.11,763623296,9780000000000.0,eng,32.0,7726.0,221,10/13/03,Candlewick Press
8222,31488,The Rainbow Goblins,Ul De Rico,Ul De Rico,4.42,500277591,9780000000000.0,eng,32.0,1417.0,149,6/17/78,Thames  Hudson
2757,10118,Saint George and the Dragon,Margaret Hodges/Trina Schart Hyman,Margaret Hodges,4.18,316367958,9780000000000.0,eng,32.0,6935.0,389,9/4/90,Little Brown and Company
5625,20692,Chester's Way,Kevin Henkes,Kevin Henkes,4.22,688154727,9780000000000.0,eng,32.0,5218.0,294,9/22/97,Greenwillow Books
2313,8256,Christmas in the Big Woods,Laura Ingalls Wilder/Renée Graef,Laura Ingalls Wilder,4.2,64434877,9780000000000.0,eng,32.0,2142.0,72,9/20/97,HarperCollins
2263,8073,Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs #1),Judi Barrett/Ron Barrett,Judi Barrett,4.16,689707495,9780000000000.0,eng,32.0,124141.0,2038,4/1/82,Atheneum Books for Young Readers
2252,8014,Mr. Bump,Roger Hargreaves,Roger Hargreaves,4.03,843178388,9780000000000.0,eng,32.0,1701.0,74,3/23/98,Price Stern Sloan
4729,16963,The Hello Goodbye Window,Norton Juster/Chris Raschka,Norton Juster,3.87,786809140,9780000000000.0,eng,32.0,8898.0,1311,4/26/05,Little Brown and Company
